--
-- Data for TOC Entry ID 31 (OID 1153543)
--
-- Name: tauth Type: TABLE DATA Owner: osirisdba
--


COPY tauth FROM stdin;
64450	Anon.	Anon.	\N	0	 
64451	Anon.	Anon.	\N	0	 
64452	Anon.	Anon.	\N	0	 
64453	Anon.	Anon.	\N	0	 
64454	Anon.	Anon.	\N	0	 
64455	Anon.	Anon.	\N	0	 
64456	Anon.	Anon.	\N	0	 
64457	Anon.	Anon.	\N	0	 
64458	Anon.	Anon.	\N	0	 
64459	Anon.	Anon.	\N	0	 
64460	Anon.	Anon.	\N	0	 
64461	Anon.	Anon.	\N	0	 
64462	Anon.	Anon.	\N	0	 
64463	Anon.	Anon.	\N	0	 
64464	Anon.	Anon.	\N	0	 
64465	Anon.	Anon.	\N	0	 
64466	Anon.	Anon.	\N	0	 
64467	Anon.	Anon.	\N	0	 
64468	Anon.	Anon.	\N	0	 
64469	Anon.	Anon.	\N	0	 
64470	Anon.	Anon.	\N	0	 
64471	Anon.	Anon.	\N	0	 
64472	Anon.	Anon.	\N	0	 
64473	Anon.	Anon.	\N	0	 
64474	Anon.	Anon.	\N	0	 
64475	Anon.	Anon.	\N	0	 
64476	Anon.	Anon.	\N	0	 
64477	Anon.	Anon.	\N	0	 
64478	Anon.	Anon.	\N	0	 
64479	Anon.	Anon.	\N	0	 
64480	Anon.	Anon.	\N	0	 
64481	Anon.	Anon.	\N	0	 
64482	Anon.	Anon.	\N	0	 
64483	Anon.	Anon.	\N	0	 
64484	Anon.	Anon.	\N	0	 
64485	Anon.	Anon.	\N	0	 
64486	Anon.	Anon.	\N	0	 
64487	Anon.	Anon.	\N	0	 
64488	Anon.	Anon.	\N	0	 
64489	Anon.	Anon.	\N	0	 
64490	Anon.	Anon.	\N	0	 
64491	Anon.	Anon.	\N	0	 
64492	Anon.	Anon.	\N	0	 
64493	Anon.	Anon.	\N	0	 
64494	Anon.	Anon.	\N	0	 
64495	Anon.	Anon.	\N	0	 
64496	Anon.	Anon.	\N	0	 
64497	Anon.	Anon.	\N	0	 
64498	Anon.	Anon.	\N	0	 
64499	Anon.	Anon.	\N	0	 
64500	Anon.	Anon.	\N	0	 
64501	Anon.	Anon.	\N	0	 
64502	Anon.	Anon.	\N	0	 
64503	Anon.	Anon.	\N	0	 
64504	Anon.	Anon.	\N	0	 
64505	Anon.	Anon.	\N	0	 
64506	Anon.	Anon.	\N	0	 
64507	Anon.	Anon.	\N	0	 
64508	Anon.	Anon.	\N	0	 
64509	Anon.	Anon.	\N	0	 
64510	Anon.	Anon.	\N	0	 
64511	Anon.	Anon.	\N	0	 
64512	Anon.	Anon.	\N	0	 
64513	Anon.	Anon.	\N	0	 
64514	Anon.	Anon.	\N	0	 
64515	Anon.	Anon.	\N	0	 
64516	Anon.	Anon.	\N	0	 
64517	Anon.	Anon.	\N	0	 
64518	Anon.	Anon.	\N	0	 
64519	Anon.	Anon.	\N	0	 
64520	Anon.	Anon.	\N	0	 
64521	Anon.	Anon.	\N	0	 
64522	Anon.	Anon.	\N	0	 
64523	Anon.	Anon.	\N	0	 
64524	Anon.	Anon.	\N	0	 
64525	Anon.	Anon.	\N	0	 
64526	Anon.	Anon.	\N	0	 
64527	Anon.	Anon.	\N	0	 
64528	Anon.	Anon.	\N	0	 
64529	Anon.	Anon.	\N	0	 
64530	Anon.	Anon.	\N	0	 
64531	Anon.	Anon.	\N	0	 
64532	Anon.	Anon.	\N	0	 
64533	Anon.	Anon.	\N	0	 
64534	Anon.	Anon.	\N	0	 
64535	Anon.	Anon.	\N	0	 
64536	Anon.	Anon.	\N	0	 
64537	Anon.	Anon.	\N	0	 
64538	Anon.	Anon.	\N	0	 
64539	Anon.	Anon.	\N	0	 
64540	Anon.	Anon.	\N	0	 
64541	Anon.	Anon.	\N	0	 
64542	Anon.	Anon.	\N	0	 
64543	Anon.	Anon.	\N	0	 
64544	Anon.	Anon.	\N	0	 
64545	Anon.	Anon.	\N	0	 
64546	Anon.	Anon.	\N	0	 
64547	Anon.	Anon.	\N	0	 
64548	Anon.	Anon.	\N	0	 
64549	Anon.	Anon.	\N	0	 
64550	Anon.	Anon.	\N	0	 
64551	Anon.	Anon.	\N	0	 
64552	Anon.	Anon.	\N	0	 
64553	Anon.	Anon.	\N	0	 
64554	Anon.	Anon.	\N	0	 
64555	Anon.	Anon.	\N	0	 
64556	Anon.	Anon.	\N	0	 
64557	Anon.	Anon.	\N	0	 
64558	Anon.	Anon.	\N	0	 
64559	Anon.	Anon.	\N	0	 
64560	Anon.	Anon.	\N	0	 
