*Bottosaurus*,*tuberculatus*,*Cretaceous; New Jersey*
*Brachydectes*,*newberryi*,*Coal-measures; Ohio*
*Brachyrophus*,*altarkansanus*,*Jurassic; Colorado*
*Brachysaurus*,*overtoni*,*Cretaceous (Pierre); Kansas*
*Branta*,*canadensis*,*Recent; North America: Pleistocene; Oregon*
*Branta*,*hypsibata*,*Pleistocene; Oregon*
*Branta*,*propinqua Shufeldt*,*Pleistocene; Oregon*
*Brontichthys*,*clarki*,*Devonian (Cleveland shale); Ohio*
*Brontosaurus*,*amplus*,*Jurassic; Wyoming*
*Brontosaurus*,*excelsus*,*Jurassic; Wyoming, Colorado*
*Brontotherium*,*bucco*,*Oligocene (White River); Colorado*
*Brontotherium*,*curtum*,*Oligocene (White River); Colorado, South Dakota*
*Brontotherium*,*dolichoceras*,*Oligocene (White River); South Dakota*
*Brontotherium*,*gigas*,*Oligocene (White River); Colorado, South Dakota*
*Brontotherium*,*hypoceras*,*Oligocene (White River); Colorado*
*Brontotherium*,*medium*,*Oligocene (White River); South Dakota*
*Brontotherium*,*ophryas*,*Oligocene (White River); Colorado*
*Brontotherium*,*platyceras*,*Oligocene (White River); South Dakota*
*Brontotherium*,*ramosum*,*Oligocene (White River); South Dakota*
*Brontotherium*,*robustum*,*Oligocene (White River); Nebraska, Colorado*
*Brontotherium*,*selwynianum*,*Oligocene (White River); Swift Current Creek, Canada*
*Brontotherium*,*tichoceras*,*Oligocene (White River); South Dakota*
*Bryactinus*,*amorphus*,*Cretaceous; New Jersey*
*Bubo*,*leptosteus*,*Eocene (Bridger); Wyoming*
*Bubo*,*virginianus*,*Recent; North America: Pleistocene; Oregon*
*Bunaelurus*,*lagophagus*,*Oligocene (White River); Colorado*
*Bunomeryx*,*elegans*,*Eocene (Uinta); Utah*
*Bunomeryx*,*montanus*,*Eocene (Uinta); Utah*
*Bythiacanthus*,*siderius*,*Subcarboniferous; Tennessee*
*Bythiacanthus*,*vanhornei*,*Subcarboniferous (St. Louis); Illinois*
*Caenopus*,*copei*,*Oligocene (White River); South Dakota*
*Caenopus*,*mitis*,*Oligocene (White River); South Dakota, Canada*
*Caenopus*,*occidentalis*,*Oligocene (White Biver); South Dakota, Nebraska, Colorado, Canada*
*Caenopus*,*simplicidens*,*Oligocene (White River); Nebraska*
*Caenopus*,*tridactylus*,*Oligocene (White River); South Dakota, North Dakota*
*Calamagras*,*murivorus*,*Oligocene (White River); Colorado*
*Calamodon*,*arcamoenus*,*Eocene (Wasatch); New Mexico*
*Calamodon*,*simplex*,*Eocene (Wasatch); Wyoming, New Mexico*
*Callognathus*,*regularis*,*Devonian (Cleveland shale); Ohio*
*Callognathus*,*serratus*,*Devonian (Cleveland shale); Ohio*
*Calops*,*consors*,*Oligocene (White River); South Dakota*
*Calops*,*cristatus*,*Oligocene (White River); South Dakota*
*Camarasaurus*,*leptodirus*,*Jurassic; Colorado*
*Camarasaurus*,*supremus*,*Jurassic; Colorado*
*Camelomeryx*,*longiceps*,*Eocene (Uinta); Wyoming*
*Camelops*,*californicus*,*Pleistocene; California*
*Camelops*,*hesternus*,*Pleistocene; California, Oregon, Mexico*
*Camelops*,*kansanus*,*Pleistocene; Kansas*
*Camelops*,*macrocephalus*,*Pliocene (Equus beds); Texas*
*Camelops*,*vitakerianus*,*Pliocene; Oregon*
*Camelus*,*americanus*,*Pleistocene; Nebraska*
*Campodus*,*basalis*,*Coal-measures; Illinois*
*Campodus*,*corrugatus*,*Coal-measures; Illinois, Kansas*
*Campodus*,*scitulus*,*Coal-measures; Illinois, Iowa*
*Campodus*,*variabilis*,*Subcarboniferous; Belgium: Coal-measures; West Virginia, Iowa, Kansas*
*Campodus*,*virginianus*,*Coal-measures; West Virginia*
*Camptomus*,*amplus*,*Cretaceous (Laramie); Wyoming*
*Camptosaurus*,*amplus*,*Jurassic; Wyoming*
*Camptosaurus*,*dispar*,*Jurassic; Wyoming*
*Camptosaurus*,*medius*,*Jurassic; Colorado*
*Camptosaurus*,*nanus*,*Jurassic; Wyoming*
*Canimartes*,*cumminsii*,*Pliocene (Blanco); Texas*
*Canis*,*anceps*,*Miocene (Loup Fork); Montana*
*Canis*,*brachypus*,*Miocene (Loup Fork); Wyoming*
*Canis*,*cinereoargentatus*,*Pleistocene; lead region of Illinois, New York?, Pennsylvania*
*Canis*,*dirus*,*Pleistocene; lead region of Upper Mississippi River*
*Canis*,*indianensis*,*Pleistocene; Indiana, lead region of Upper Mississippi River; California (Leidy)*
