92,1140,*Aves*,*Faunal list*,*Miocene*
92,1140,*Japan*,*Faunal list*,*Miocene*
92,1140,*Japan*,*Mammalia*,*Miocene*
92,1140,*Mammalia*,*Carnivora*,*Miocene*
92,1140,*Mammalia*,*Faunal list*,*Miocene*
92,1140,*Miocene*,*Faunal list*,*Japan*
92,1140,*Miocene*,*Mammalia*,*Japan*
92,1140,*Reptilia*,*Faunal list*,*Miocene*
92,1150,*Acronyms:MFM*,**,**
92,1150,*Japan*,*Mammalia*,*Miocene*
92,1150,*Mammalia*,*Cetacea*,*Miocene*
92,1150,*Miocene*,*Mammalia*,*Japan*
92,1160,*Japan*,*Osteichthyes*,*Miocene*
92,1160,*Miocene*,*Osteichthyes*,*Japan*
92,1160,*Osteichthyes*,*Cypriniformes*,*Miocene*
92,1170,*Biogeography*,*Osteichthyes*,*Cenozoic*
92,1170,*Cenozoic*,*Faunal list*,*China*
92,1170,*Cenozoic*,*Faunal list*,*Japan*
92,1170,*Cenozoic*,*Osteichthyes*,*China*
92,1170,*Cenozoic*,*Osteichthyes*,*Japan*
92,1170,*China*,*Faunal list*,*Cenozoic*
92,1170,*China*,*Osteichthyes*,*Cenozoic*
92,1170,*Japan*,*Faunal list*,*Cenozoic*
92,1170,*Japan*,*Osteichthyes*,*Cenozoic*
92,1170,*Osteichthyes*,*Cypriniformes*,*Cenozoic*
92,1170,*Osteichthyes*,*Faunal list*,*Cenozoic*
92,1180,*Paleocene*,*Vertebrata*,*Spain*
92,1180,*Spain*,*Vertebrata*,*Paleocene*
92,1180,*Vertebrata*,*Occurrence*,*Paleocene*
92,1190,*Mammalia*,*Faunal list*,*Pleistocene*
92,1190,*Moldova*,*Faunal list*,*Pleistocene*
92,1190,*Pleistocene*,*Faunal list*,*Moldova*
92,1210,*Acronyms:CM*,**,**
92,1210,*Acronyms:GIN*,**,**
92,1210,*Acronyms:HNHMB*,**,**
92,1210,*Acronyms:ISM*,**,**
92,1210,*Acronyms:LACM*,**,**
92,1210,*Acronyms:NMC*,**,**
92,1210,*Acronyms:UCMP*,**,**
92,1210,*Acronyms:UCMVZ*,**,**
92,1210,*Acronyms:USNM*,**,**
92,1210,*Acronyms:VA*,**,**
92,1210,*Mammalia*,*Biostratigraphy*,*Pleistocene*
92,1210,*Mammalia*,*Rodentia*,*Pleistocene*
