99,351,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,352,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,353,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,354,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,355,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,356,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,357,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,358,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,359,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,360,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,361,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,362,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,363,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,364,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,365,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,366,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,367,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,368,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,369,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,370,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,371,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,372,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,373,*AGASSIZ, LOUIS JEAN RODOLPHE*,**,**
99,374,*AGASSIZ, L.*,**,**
99,374,*ELIZABETH C. AGASSIZ*,**,**
99,375,*AGEENKO, V.*,**,**
99,376,*AGNEW, J. W.*,**,**
99,377,*AGRICOLA, GEORGIUS*,*= GEORG BAUER*,**
99,378,*AGUILAR Y SANTILLA%AN, RAFAEL*,**,**
99,379,*AGUILERA, JOSE G.*,**,**
99,380,*AGUILERA, JOSE G.*,**,**
