00114014	Currents in Modern Biology	Amsterdam, The Netherlands	North Holland Publ. Co.
00116297	Bulletin of the Geological Society of Denmark = Meddelelser fra Dansk Geologisk Forening	Copenhagen, Denmark	Geological Society of Denmark
0011796X	Delphin, Der. Revue der Unterwasserwelt	Hamburg, Germany	Verband deutscher Sporttaucher
00120189	Zeitschrift der Deutschen Geologischen Gesellschaft	Hannover, Germany	Deutsche Geologische Gesellschaft
00123633	Discovery	New Haven, CT, USA	Yale University, Peabody Museum of Natural History
0012494X	Transactions (Doklady) of the USSR Academy of Sciences. Earth Science Sections. [Transl. of papers from Doklady Akad. Nauk SSSR]	Washington DC, USA	Scripta Technica, Inc. & Am. Geol. Inst.
0012821X	Earth and Planetary Science Letters	Amsterdam, The Netherlands	Elsevier Scientific Publishing Company
00128228	Earth Science	Alexandria, VA, USA	American Geological Institute
00129402	Eclogae Geologicae Helvetiae	Basel, Switzerland	Birkha%Fuser Verlag
00132144	Eesti NSV Teaduste Akadeemia Toimetised, Bioloogia = Izvestiya Akademii Nauk Estonskoy SSR, Biologiya	Tallin, EstSSR, USSR	Izdatel'stvo ``Perioodika''
00136220	The Journal of the Elisha Mitchell Scientific Society	Chapel Hill, NC, USA	University of North Carolina
00137812	Engineering and Science	Pasadena, CA, USA	California Institute of Technology
00143820	Evolution	Lawrence, KS, USA	Society for the Study of Evolution
00145009	Explorer	Cleveland, OH, USA	Cleveland Museum of Natural History
00145025	Explorers Journal	New York, NY, USA	The Explorers Club
00145793	FEBS Letters for the rapid publication of short reports in biochemistry, biophysics and molecular biology	Amsterdam, The Netherlands	Elsvier for the Feder. of European Biochem. Societies
00150703	Field Museum of Natural History Bulletin	Chicago, IL, USA	Field Museum of Natural History
00150754	Fieldiana, Zoology (New Series)	Chicago, IL, USA	Field Museum of Natural History
00153850	Quarterly Journal of the Florida Academy of Sciences	Gainesville, FL, USA	Florida Academy of Sciences
